-0.000724 -0.000000
0.000724 30798812578010288000000.000000
0.000724 61595315302741595000000.000000
0.002172 970043067148772700000000.000000
0.003621 4918136909417593900000000.000000
0.005069 13786389146268674000000000.000000
0.006517 29543575882506608000000000.000000
0.007965 54151961544633156000000000.000000
0.009413 89568077414835909000000000.000000
0.010862 137741856578862220000000000.000000
0.012310 200615551591726140000000000.000000
0.013758 280122606786543670000000000.000000
0.015206 378186522466687540000000000.000000
0.016655 496719722345133870000000000.000000
0.018103 637622428831061150000000000.000000
0.019551 802781548600676070000000000.000000
0.020999 994069570085763130000000000.000000
0.022448 1213343474173077500000000000.000000
0.023896 1462443659246783200000000000.000000
0.025344 1743192881617767900000000000.000000
0.026792 2057395212327423100000000000.000000
0.028240 2406835011272983800000000000.000000
0.029689 2793275919566614000000000000.000000
0.031137 3218459871011290800000000000.000000
0.032585 3684106123543720700000000000.000000
0.034033 4191910311468239800000000000.000000
0.035482 4743543519273724500000000000.000000
0.036930 5340651377793801700000000000.000000
0.038378 5984853183444086900000000000.000000
0.039826 6677741041234363800000000000.000000
0.041274 7420879032223492900000000000.000000
0.042723 8215802406049495300000000000.000000
0.044171 9064016799134896200000000000.000000
0.045619 9966997479136244200000000000.000000
0.047067 10926188616166911000000000000.000000
0.048516 11943002581288563000000000000.000000
0.049964 13018819272733316000000000000.000000
0.051412 14154985470280118000000000000.000000
0.052860 15352814218175871000000000000.000000
0.054308 16613584236950627000000000000.000000
0.055757 17938539364442703000000000000.000000
0.057205 19328888026316710000000000000.000000
0.058653 20785802736310190000000000000.000000
0.060101 22310419626421070000000000000.000000
0.061550 23903838007201720000000000000.000000
0.062998 25567119958290034000000000000.000000
0.064446 27301289949283504000000000000.000000
0.065894 29107334491010638000000000000.000000
0.067343 30986201817224434000000000000.000000
0.068791 32938801596713011000000000000.000000
0.070239 34966004675783447000000000000.000000
0.071687 37068642851038547000000000000.000000
0.073135 39247508672335528000000000000.000000
0.074584 41503355275787333000000000000.000000
0.076032 43836896246626916000000000000.000000
0.077480 46248805511721745000000000000.000000
0.078928 48739717261505048000000000000.000000
0.080377 51310225901062244000000000000.000000
0.081825 53960886030061375000000000000.000000
0.083273 56692212451204318000000000000.000000
0.084721 59504680206854554000000000000.000000
0.086169 62398724643450016000000000000.000000
0.087618 65374741503302819000000000000.000000
0.089066 68433087043349649000000000000.000000
0.090514 71574078180399617000000000000.000000
0.091962 74797992662406401000000000000.000000
0.093411 78105069265262855000000000000.000000
0.094859 81495508014599219000000000000.000000
0.096307 84969470432047926000000000000.000000
0.097755 88527079805414132000000000000.000000
0.099203 92168421482180049000000000000.000000
0.100652 95893543185750995000000000000.000000
0.102100 99702455353838545000000000000.000000
0.103548 103595131498365540000000000000.000000
0.104996 107571508586240650000000000000.000000
0.106445 111631487440377880000000000000.000000
0.107893 115774933160299640000000000000.000000
0.109341 120001675561650690000000000000.000000
0.110789 124311509633959380000000000000.000000
0.112238 128704196015945300000000000000.000000
0.113686 133179461487706130000000000000.000000
0.115134 137736999479080300000000000000.000000
0.116582 142376470593484880000000000000.000000
0.118030 147097503146527950000000000000.000000
0.119479 151899693718684690000000000000.000000
0.120927 156782607721345760000000000000.000000
0.122375 161745779975517940000000000000.000000
0.123823 166788715302474760000000000000.000000
0.125272 171910889125651470000000000000.000000
0.126720 177111748083084060000000000000.000000
0.128168 182390710649686630000000000000.000000
0.129616 187747167768665730000000000000.000000
0.131064 193180483491409500000000000000.000000
0.132513 198689995625118800000000000000.000000
0.133961 204275016387539830000000000000.000000
0.135409 209934833068109510000000000000.000000
0.136857 215668708694836420000000000000.000000
0.138306 221475882706292450000000000000.000000
0.139754 227355571628028660000000000000.000000
0.141202 233306969752798160000000000000.000000
0.142650 239329249823957480000000000000.000000
0.144098 245421563721417160000000000000.000000
0.145547 251583043149546920000000000000.000000
0.146995 257812800326424690000000000000.000000
0.148443 264109928673860970000000000000.000000
0.149891 270473503507618290000000000000.000000
0.151340 276902582727266290000000000000.000000
0.152788 283396207505139840000000000000.000000
0.154236 289953402973849300000000000000.000000
0.155684 296573178911829380000000000000.000000
0.157133 303254530426445250000000000000.000000
0.158581 309996438634148020000000000000.000000
0.160029 316797871337182140000000000000.000000
0.161477 323657783696439260000000000000.000000
0.162925 330575118899966780000000000000.000000
0.164374 337548808826710170000000000000.000000
0.165822 344577774705105200000000000000.000000
0.167270 351660927766071120000000000000.000000
0.168718 358797169890055810000000000000.000000
0.170167 365985394247757080000000000000.000000
0.171615 373224485934145610000000000000.000000
0.173063 380513322595489420000000000000.000000
0.174511 387850775049009480000000000000.000000
0.175959 395235707894908690000000000000.000000
0.177408 402666980120433230000000000000.000000
0.178856 410143445695713630000000000000.000000
0.180304 417663954161150210000000000000.000000
0.181752 425227351206036270000000000000.000000
0.183201 432832479238196280000000000000.000000
0.184649 440478177944480010000000000000.000000
0.186097 448163284841850650000000000000.000000
0.187545 455886635818858500000000000000.000000
0.188993 463647065667414750000000000000.000000
0.190442 471443408604603880000000000000.000000
0.191890 479274498784425280000000000000.000000
0.193338 487139170799359770000000000000.000000
0.194786 495036260171570320000000000000.000000
0.196235 502964603833687090000000000000.000000
0.197683 510923040599063130000000000000.000000
0.199131 518910411621382210000000000000.000000
0.200579 526925560843573450000000000000.000000
0.202028 534967335435987080000000000000.000000
0.203476 543034586223756700000000000000.000000
0.204924 551126168103296770000000000000.000000
0.206372 559240940447947520000000000000.000000
0.207820 567377767502712770000000000000.000000
0.209269 575535518768095270000000000000.000000
0.210717 583713069373032060000000000000.000000
